country,isocode,subregion,year,region,pib_per_capita,indice_gini,tasa_desempleo_joven,tasa_homicidio,dummy_outlier_tasa_homicidio,dummy_outlier_pib_per_capita,dummy_outlier_tasa_desempleo_joven,dummy_outlier_indice_gini
British Virgin Islands,VGB,Latin America and the Caribbean,2015,Americas,58187.4764072535,41.5,8.875,18.710926,0,0,0,0
British Virgin Islands,VGB,Latin America and the Caribbean,2010,Americas,10027.5372996025,40.2,19.381,13.682036,0,0,0,0
Brunei Darussalam,BRN,South-eastern Asia,2020,Asia,69787.9633393605,26.6,26.844,1.0256623,0,0,0,0
Brunei Darussalam,BRN,South-eastern Asia,2015,Asia,62707.8263582428,29.4,25.939,0.74654263,0,0,0,0
Brunei Darussalam,BRN,South-eastern Asia,2010,Asia,79542.6778763874,36.8,21.596,2.1509116,0,1,0,0
Bulgaria,BGR,Eastern Europe,2020,Europe,27376.7783677501,40.5,14.214,0.9951466,0,0,0,0
Bulgaria,BGR,Eastern Europe,2015,Europe,18901.1716985864,38.6,21.653,1.7554817,0,0,0,0
Bulgaria,BGR,Eastern Europe,2010,Europe,14955.9157788275,35.7,21.95,1.9898896,0,0,0,0
Burkina Faso,BFA,Sub-Saharan Africa,2020,Africa,2380.72282781802,37.5,8.905,10.032131,0,0,0,0
Burkina Faso,BFA,Sub-Saharan Africa,2015,Africa,1691.57935387408,41.5,7.335,4.279318,0,0,0,0
Burkina Faso,BFA,Sub-Saharan Africa,2010,Africa,1449.42216382921,39.5,5.965,2.656516,0,0,0,0
Burundi,BDI,Sub-Saharan Africa,2020,Africa,786.515830674648,37.5,1.69,1.6250405,0,0,0,0
Burundi,BDI,Sub-Saharan Africa,2015,Africa,797.426234406883,35.3,2.671,4.1728597,0,0,0,0
Burundi,BDI,Sub-Saharan Africa,2010,Africa,613.649848956193,35.3,2.301,1.6565263,0,0,0,0
Cabo Verde,CPV,Sub-Saharan Africa,2020,Africa,6852.57669930355,43,34.625,0.98432386,0,0,0,0
Cabo Verde,CPV,Sub-Saharan Africa,2015,Africa,6773.48679969386,42.4,28.54,1.7619505,0,0,0,0
Cabo Verde,CPV,Sub-Saharan Africa,2010,Africa,6038.58525655665,37.5,21.329,14.903273,0,0,0,0
Cambodia,KHM,South-eastern Asia,2020,Asia,5942.45380373929,39.4,0.474,1.2160146,0,0,0,0
Cambodia,KHM,South-eastern Asia,2015,Asia,4433.64393500572,39.4,0.744,2.7063816,0,0,0,0
Cambodia,KHM,South-eastern Asia,2010,Asia,2988.50401439457,44.6,0.964,2.2826443,0,0,0,0
Cameroon,CMR,Sub-Saharan Africa,2020,Africa,4365.44704128392,39.5,7.384,4.5859385,0,0,0,0
Cameroon,CMR,Sub-Saharan Africa,2015,Africa,3497.66067563959,37.4,6.233,3.782385,0,0,0,0
Cameroon,CMR,Sub-Saharan Africa,2010,Africa,2913.94292755606,35.3,6.322,5.0792994,0,0,0,0
Canada,CAN,Northern America,2020,Americas,48590.6832121939,29.9,20.125,2.004092,0,0,0,0
Canada,CAN,Northern America,2015,Americas,44669.4513631838,33.7,12.759,1.6990045,0,0,0,0
Canada,CAN,Northern America,2010,Americas,40098.2537191139,33.6,14.575,1.6288027,0,0,0,0
Cayman Islands,CYM,Latin America and the Caribbean,2020,Americas,66118.6545207023,40,22.125,4.367798,0,0,0,0
Cayman Islands,CYM,Latin America and the Caribbean,2015,Americas,64009.3167970419,30.2,11.079,2.321635,0,0,0,0
Cayman Islands,CYM,Latin America and the Caribbean,2010,Americas,66325.4574311641,48,9.871,16.63632,0,1,0,0
Central African Republic,CAF,Sub-Saharan Africa,2020,Africa,1066.29005423151,35.3,10.434,1.4849432,0,0,0,0
Central African Republic,CAF,Sub-Saharan Africa,2015,Africa,768.870887999174,41.5,9.402,4.8015943,0,0,0,0
Central African Republic,CAF,Sub-Saharan Africa,2010,Africa,936.485497371468,35,9.815,5.0792994,0,0,0,0
Chad,TCD,Sub-Saharan Africa,2020,Africa,2185.99034173537,37.4,1.9,1.6250405,0,0,0,0
Chad,TCD,Sub-Saharan Africa,2015,Africa,2377.51137185751,37.4,1.403,3.782385,0,0,0,0
Chad,TCD,Sub-Saharan Africa,2010,Africa,2318.39844293894,35.3,1.286,5.0792994,0,0,0,0
Chile,CHL,Latin America and the Caribbean,2020,Americas,25350.8635082972,47,24.377,5.756139,0,0,0,0
