year,country,isocode,region,subregion,pib_per_capita,indice_gini,tasa_desempleo_joven,tasa_homicidio,dummy_outlier_tasa_homicidio,dummy_outlier_pib_per_capita,dummy_outlier_tasa_desempleo_joven,dummy_outlier_indice_gini
2010,Botswana,BWA,Africa,Sub-Saharan Africa,12490.8923158262,NA,35.093,14.903273,0,0,0,0
2020,Brazil,BRA,Americas,Latin America and the Caribbean,16101.6183063466,48.9,30.267,22.870605,1,0,0,0
2015,Brazil,BRA,Americas,Latin America and the Caribbean,14821.4383174534,51.9,19.493,28.850302,1,0,0,0
2010,Brazil,BRA,Americas,Latin America and the Caribbean,14451.7158389637,NA,18.242,26.994568,1,0,0,0
2020,British Virgin Islands,VGB,Americas,Latin America and the Caribbean,NA,NA,NA,NA,0,0,0,0
2015,British Virgin Islands,VGB,Americas,Latin America and the Caribbean,NA,NA,NA,NA,0,0,0,0
2010,British Virgin Islands,VGB,Americas,Latin America and the Caribbean,NA,NA,NA,NA,0,0,0,0
2020,Brunei Darussalam,BRN,Asia,South-eastern Asia,69787.9633393605,NA,26.844,NA,0,0,0,0
2015,Brunei Darussalam,BRN,Asia,South-eastern Asia,62707.8263582428,NA,25.939,NA,0,0,0,0
2010,Brunei Darussalam,BRN,Asia,South-eastern Asia,79542.6778763874,NA,21.596,NA,0,1,0,0
2020,Bulgaria,BGR,Europe,Eastern Europe,27376.7783677501,40.5,14.214,0.9951466,0,0,0,0
2015,Bulgaria,BGR,Europe,Eastern Europe,18901.1716985864,38.6,21.653,1.7554817,0,0,0,0
2010,Bulgaria,BGR,Europe,Eastern Europe,14955.9157788275,35.7,21.95,1.9898896,0,0,0,0
2020,Burkina Faso,BFA,Africa,Sub-Saharan Africa,2380.72282781802,NA,8.905,NA,0,0,0,0
2015,Burkina Faso,BFA,Africa,Sub-Saharan Africa,1691.57935387408,NA,7.335,NA,0,0,0,0
2010,Burkina Faso,BFA,Africa,Sub-Saharan Africa,1449.42216382921,NA,5.965,NA,0,0,0,0
2020,Burundi,BDI,Africa,Sub-Saharan Africa,786.515830674648,37.5,1.69,NA,0,0,0,0
2015,Burundi,BDI,Africa,Sub-Saharan Africa,797.426234406883,NA,2.671,4.1728597,0,0,0,0
2010,Burundi,BDI,Africa,Sub-Saharan Africa,613.649848956193,NA,2.301,NA,0,0,0,0
2020,Cabo Verde,CPV,Africa,Sub-Saharan Africa,6852.57669930355,NA,34.625,NA,0,0,0,0
2015,Cabo Verde,CPV,Africa,Sub-Saharan Africa,6773.48679969386,42.4,28.54,NA,0,0,0,0
2010,Cabo Verde,CPV,Africa,Sub-Saharan Africa,6038.58525655665,NA,21.329,NA,0,0,0,0
2020,Cambodia,KHM,Asia,South-eastern Asia,5942.45380373929,NA,0.474,NA,0,0,0,0
2015,Cambodia,KHM,Asia,South-eastern Asia,4433.64393500572,NA,0.744,NA,0,0,0,0
2010,Cambodia,KHM,Asia,South-eastern Asia,2988.50401439457,NA,0.964,2.2826443,0,0,0,0
2020,Cameroon,CMR,Africa,Sub-Saharan Africa,4365.44704128392,NA,7.384,4.5859385,0,0,0,0
2015,Cameroon,CMR,Africa,Sub-Saharan Africa,3497.66067563959,NA,6.233,3.782385,0,0,0,0
2010,Cameroon,CMR,Africa,Sub-Saharan Africa,2913.94292755606,NA,6.322,5.0792994,0,0,0,0
2020,Canada,CAN,Americas,Northern America,48590.6832121939,29.9,20.125,2.004092,0,0,0,0
2015,Canada,CAN,Americas,Northern America,44669.4513631838,33.7,12.759,1.6990045,0,0,0,0
2010,Canada,CAN,Americas,Northern America,40098.2537191139,33.6,14.575,1.6288027,0,0,0,0
2020,Cayman Islands,CYM,Americas,Latin America and the Caribbean,66118.6545207023,NA,NA,4.367798,0,0,0,0
2015,Cayman Islands,CYM,Americas,Latin America and the Caribbean,64009.3167970419,NA,NA,NA,0,0,0,0
2010,Cayman Islands,CYM,Americas,Latin America and the Caribbean,66325.4574311641,NA,NA,16.63632,0,1,0,0
2020,Central African Republic,CAF,Africa,Sub-Saharan Africa,1066.29005423151,NA,10.434,NA,0,0,0,0
2015,Central African Republic,CAF,Africa,Sub-Saharan Africa,768.870887999174,NA,9.402,NA,0,0,0,0
2010,Central African Republic,CAF,Africa,Sub-Saharan Africa,936.485497371468,NA,9.815,NA,0,0,0,0
2020,Chad,TCD,Africa,Sub-Saharan Africa,2185.99034173537,NA,1.9,NA,0,0,0,0
2015,Chad,TCD,Africa,Sub-Saharan Africa,2377.51137185751,NA,1.403,NA,0,0,0,0
2010,Chad,TCD,Africa,Sub-Saharan Africa,2318.39844293894,NA,1.286,NA,0,0,0,0
2020,Chile,CHL,Americas,Latin America and the Caribbean,25350.8635082972,47,24.377,5.756139,0,0,0,0
2015,Chile,CHL,Americas,Latin America and the Caribbean,22457.8800614565,45.3,15.282,2.321635,0,0,0,0
2010,Chile,CHL,Americas,Latin America and the Caribbean,17917.8951217097,NA,18.634,3.1487422,0,0,0,0
2020,China,CHN,Asia,Eastern Asia,18267.4783455827,37.1,12.678,0.5018561,0,0,0,0
2015,China,CHN,Asia,Eastern Asia,13463.3331511105,38.6,10.697,0.6589624,0,0,0,0
2010,China,CHN,Asia,Eastern Asia,9411.13821903204,43.7,9.823,0.9921857,0,0,0,0
2020,Colombia,COL,Americas,Latin America and the Caribbean,15519.2101694656,53.5,27.248,22.642704,1,0,0,1
2015,Colombia,COL,Americas,Latin America and the Caribbean,13332.0555048211,51,17.316,27.215279,1,0,0,0
2010,Colombia,COL,Americas,Latin America and the Caribbean,10841.1279801312,54.6,22.572,34.524174,1,0,0,0
2020,Comoros,COM,Africa,Sub-Saharan Africa,3261.59496762747,NA,10.469,NA,0,0,0,0
2015,Comoros,COM,Africa,Sub-Saharan Africa,2949.47342240993,NA,9.517,NA,0,0,0,0
2010,Comoros,COM,Africa,Sub-Saharan Africa,2333.32778329942,NA,9.556,NA,0,0,0,0
2020,"Congo, Dem. Rep.",COD,Africa,Sub-Saharan Africa,1136.00839556367,44.7,9.617,NA,0,0,0,0
2015,"Congo, Dem. Rep.",COD,Africa,Sub-Saharan Africa,859.143482737815,NA,8.389,NA,0,0,0,0
2010,"Congo, Dem. Rep.",COD,Africa,Sub-Saharan Africa,597.088740789196,NA,7.494,NA,0,0,0,0
2020,"Congo, Rep.",COG,Africa,Sub-Saharan Africa,4770.96449758365,NA,46.326,NA,0,0,0,0
2015,"Congo, Rep.",COG,Africa,Sub-Saharan Africa,4715.13431581624,NA,41.133,NA,0,0,0,0
2010,"Congo, Rep.",COG,Africa,Sub-Saharan Africa,5125.06991343643,NA,39.978,NA,0,0,0,0
